2023-05-03 21:44:59,394 INFO  - Initialize application VehicleCommunicationApp1 (at simulation time 13.000,000,000 s)
2023-05-03 21:44:59,395 INFO  - Activated Cellular Module (at simulation time 13.000,000,000 s)
2023-05-03 21:44:59,522 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=40,  Latitude=41.63253168184327, Longitude= -71.00553295378838, Road CLOSED, }, Latitude= 41.63122020706059, Longitude= -71.00239737093058,  (at simulation time 25.003,800,000 s)
2023-05-03 21:44:59,522 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=41,  Latitude=41.63253168184327, Longitude= -71.00553295378838, Road CLOSED, }, Latitude= 41.63122020706059, Longitude= -71.00239737093058,  (at simulation time 25.101,800,000 s)
2023-05-03 21:44:59,523 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=42,  Latitude=41.63253168184327, Longitude= -71.00553295378838, Road CLOSED, }, Latitude= 41.63122020706059, Longitude= -71.00239737093058,  (at simulation time 25.202,800,000 s)
2023-05-03 21:44:59,523 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=43,  Latitude=41.63253168184327, Longitude= -71.00553295378838, Road CLOSED, }, Latitude= 41.63122020706059, Longitude= -71.00239737093058,  (at simulation time 25.300,800,000 s)
2023-05-03 21:44:59,524 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=44,  Latitude=41.63253168184327, Longitude= -71.00553295378838, Road CLOSED, }, Latitude= 41.63122020706059, Longitude= -71.00239737093058,  (at simulation time 25.400,800,000 s)
2023-05-03 21:44:59,524 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=45,  Latitude=41.63253168184327, Longitude= -71.00553295378838, Road CLOSED, }, Latitude= 41.63122020706059, Longitude= -71.00239737093058,  (at simulation time 25.501,800,000 s)
2023-05-03 21:44:59,524 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=46,  Latitude=41.63253168184327, Longitude= -71.00553295378838, Road CLOSED, }, Latitude= 41.63122020706059, Longitude= -71.00239737093058,  (at simulation time 25.601,300,000 s)
2023-05-03 21:44:59,525 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=47,  Latitude=41.63253168184327, Longitude= -71.00553295378838, Road CLOSED, }, Latitude= 41.63122020706059, Longitude= -71.00239737093058,  (at simulation time 25.702,300,000 s)
2023-05-03 21:44:59,525 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=48,  Latitude=41.63253168184327, Longitude= -71.00553295378838, Road CLOSED, }, Latitude= 41.63122020706059, Longitude= -71.00239737093058,  (at simulation time 25.804,800,000 s)
2023-05-03 21:44:59,525 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=49,  Latitude=41.63253168184327, Longitude= -71.00553295378838, Road CLOSED, }, Latitude= 41.63122020706059, Longitude= -71.00239737093058,  (at simulation time 25.901,800,000 s)
2023-05-03 21:44:59,527 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=50,  Latitude=41.63253168184327, Longitude= -71.00553295378838, Road CLOSED, }, Latitude= 41.631276377435036, Longitude= -71.0024436321505,  (at simulation time 26.003,800,000 s)
