Date and Time, ,V2X Message Detail,Sender,Receiver,Message Type,Msg Id,Seq Num,Latitude - Sender,Longitude - Sender,Message Content,Latitude - Receiver,Longitude - Receiver,Simulation Time - Sender, ,Simulation Time - Receiver, 
2023-05-03 21:45:30,804 INFO  - ,Broadcasting V2X Message ,rsu_2,veh_0, InterVehicleMsg{,Msg Id=30, SeqNum=2230,  Latitude=41.63002320830884, Longitude= -71.01128391713155, Road CLOSED, Latitude= 41.62757586552758, Longitude= -71.01048902744813, } (at simulation time 362.001,400,  (at simulation time 362.003,800
2023-05-03 21:45:30,806 INFO  - ,Broadcasting V2X Message ,rsu_2,veh_0, InterVehicleMsg{,Msg Id=30, SeqNum=2231,  Latitude=41.63002320830884, Longitude= -71.01128391713155, Road CLOSED, Latitude= 41.62757586552758, Longitude= -71.01048902744813, } (at simulation time 362.100,900,  (at simulation time 362.101,800
2023-05-03 21:45:30,806 INFO  - ,Broadcasting V2X Message ,rsu_2,veh_0, InterVehicleMsg{,Msg Id=30, SeqNum=2232,  Latitude=41.63002320830884, Longitude= -71.01128391713155, Road CLOSED, Latitude= 41.62757586552758, Longitude= -71.01048902744813, } (at simulation time 362.200,900,  (at simulation time 362.201,300
2023-05-03 21:45:30,806 INFO  - ,Broadcasting V2X Message ,rsu_2,veh_0, InterVehicleMsg{,Msg Id=30, SeqNum=2233,  Latitude=41.63002320830884, Longitude= -71.01128391713155, Road CLOSED, Latitude= 41.62757586552758, Longitude= -71.01048902744813, } (at simulation time 362.300,900,  (at simulation time 362.301,800
2023-05-03 21:45:30,806 INFO  - ,Broadcasting V2X Message ,rsu_2,veh_0, InterVehicleMsg{,Msg Id=30, SeqNum=2234,  Latitude=41.63002320830884, Longitude= -71.01128391713155, Road CLOSED, Latitude= 41.62757586552758, Longitude= -71.01048902744813, } (at simulation time 362.400,400,  (at simulation time 362.400,800
2023-05-03 21:45:30,806 INFO  - ,Broadcasting V2X Message ,rsu_2,veh_0, InterVehicleMsg{,Msg Id=30, SeqNum=2235,  Latitude=41.63002320830884, Longitude= -71.01128391713155, Road CLOSED, Latitude= 41.62757586552758, Longitude= -71.01048902744813, } (at simulation time 362.501,900,  (at simulation time 362.504,300
2023-05-03 21:45:30,806 INFO  - ,Broadcasting V2X Message ,rsu_2,veh_0, InterVehicleMsg{,Msg Id=30, SeqNum=2236,  Latitude=41.63002320830884, Longitude= -71.01128391713155, Road CLOSED, Latitude= 41.62757586552758, Longitude= -71.01048902744813, } (at simulation time 362.601,900,  (at simulation time 362.603,800
2023-05-03 21:45:30,806 INFO  - ,Broadcasting V2X Message ,rsu_2,veh_0, InterVehicleMsg{,Msg Id=30, SeqNum=2237,  Latitude=41.63002320830884, Longitude= -71.01128391713155, Road CLOSED, Latitude= 41.62757586552758, Longitude= -71.01048902744813, } (at simulation time 362.702,400,  (at simulation time 362.704,300
2023-05-03 21:45:30,806 INFO  - ,Broadcasting V2X Message ,rsu_2,veh_0, InterVehicleMsg{,Msg Id=30, SeqNum=2238,  Latitude=41.63002320830884, Longitude= -71.01128391713155, Road CLOSED, Latitude= 41.62757586552758, Longitude= -71.01048902744813, } (at simulation time 362.802,400,  (at simulation time 362.803,800
2023-05-03 21:45:30,806 INFO  - ,Broadcasting V2X Message ,rsu_2,veh_0, InterVehicleMsg{,Msg Id=30, SeqNum=2239,  Latitude=41.63002320830884, Longitude= -71.01128391713155, Road CLOSED, Latitude= 41.62757586552758, Longitude= -71.01048902744813, } (at simulation time 362.901,900,  (at simulation time 362.902,800
2023-05-03 21:45:30,807 INFO  - ,Broadcasting V2X Message ,rsu_2,veh_0, InterVehicleMsg{,Msg Id=30, SeqNum=2240,  Latitude=41.63002320830884, Longitude= -71.01128391713155, Road CLOSED, Latitude= 41.627635299473205, Longitude= -71.01052550165201, } (at simulation time 363.000,900,  (at simulation time 363.003,300
2023-05-03 21:45:30,807 INFO  - ,Broadcasting V2X Message ,rsu_2,veh_0, InterVehicleMsg{,Msg Id=30, SeqNum=2241,  Latitude=41.63002320830884, Longitude= -71.01128391713155, Road CLOSED, Latitude= 41.627635299473205, Longitude= -71.01052550165201, } (at simulation time 363.100,900,  (at simulation time 363.101,800
2023-05-03 21:45:30,807 INFO  - ,Broadcasting V2X Message ,rsu_2,veh_0, InterVehicleMsg{,Msg Id=30, SeqNum=2242,  Latitude=41.63002320830884, Longitude= -71.01128391713155, Road CLOSED, Latitude= 41.627635299473205, Longitude= -71.01052550165201, } (at simulation time 363.201,400,  (at simulation time 363.202,800
2023-05-03 21:45:30,807 INFO  - ,Broadcasting V2X Message ,rsu_2,veh_0, InterVehicleMsg{,Msg Id=30, SeqNum=2243,  Latitude=41.63002320830884, Longitude= -71.01128391713155, Road CLOSED, Latitude= 41.627635299473205, Longitude= -71.01052550165201, } (at simulation time 363.300,400,  (at simulation time 363.301,300
2023-05-03 21:45:30,807 INFO  - ,Broadcasting V2X Message ,rsu_2,veh_0, InterVehicleMsg{,Msg Id=30, SeqNum=2244,  Latitude=41.63002320830884, Longitude= -71.01128391713155, Road CLOSED, Latitude= 41.627635299473205, Longitude= -71.01052550165201, } (at simulation time 363.401,400,  (at simulation time 363.402,800
2023-05-03 21:45:30,807 INFO  - ,Broadcasting V2X Message ,rsu_2,veh_0, InterVehicleMsg{,Msg Id=30, SeqNum=2245,  Latitude=41.63002320830884, Longitude= -71.01128391713155, Road CLOSED, Latitude= 41.627635299473205, Longitude= -71.01052550165201, } (at simulation time 363.502,400,  (at simulation time 363.502,800
2023-05-03 21:45:30,807 INFO  - ,Broadcasting V2X Message ,rsu_2,veh_0, InterVehicleMsg{,Msg Id=30, SeqNum=2246,  Latitude=41.63002320830884, Longitude= -71.01128391713155, Road CLOSED, Latitude= 41.627635299473205, Longitude= -71.01052550165201, } (at simulation time 363.601,400,  (at simulation time 363.602,800
2023-05-03 21:45:30,807 INFO  - ,Broadcasting V2X Message ,rsu_2,veh_0, InterVehicleMsg{,Msg Id=30, SeqNum=2247,  Latitude=41.63002320830884, Longitude= -71.01128391713155, Road CLOSED, Latitude= 41.627635299473205, Longitude= -71.01052550165201, } (at simulation time 363.702,400,  (at simulation time 363.704,800
2023-05-03 21:45:30,807 INFO  - ,Broadcasting V2X Message ,rsu_2,veh_0, InterVehicleMsg{,Msg Id=30, SeqNum=2248,  Latitude=41.63002320830884, Longitude= -71.01128391713155, Road CLOSED, Latitude= 41.627635299473205, Longitude= -71.01052550165201, } (at simulation time 363.801,400,  (at simulation time 363.802,800
2023-05-03 21:45:30,807 INFO  - ,Broadcasting V2X Message ,rsu_2,veh_0, InterVehicleMsg{,Msg Id=30, SeqNum=2249,  Latitude=41.63002320830884, Longitude= -71.01128391713155, Road CLOSED, Latitude= 41.627635299473205, Longitude= -71.01052550165201, } (at simulation time 363.901,400,  (at simulation time 363.903,800
