2023-09-25 08:47:01,043 INFO  - Initialize application (at simulation time 7.000,000,000 s)
2023-09-25 08:47:01,044 INFO  - Activated Cellular Module (at simulation time 7.000,000,000 s)
2023-09-25 08:47:01,046 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=0,  Latitude=41.6304806, Longitude= -71.0019975, Road CLOSED, }, Latitude= 41.6304806, Longitude= -71.0019975,  (at simulation time 7.000,000,000 s)
2023-09-25 08:47:01,046 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=1,  Latitude=41.63056350986336, Longitude= -71.00201410875673, Road CLOSED, }, Latitude= 41.63056350986336, Longitude= -71.00201410875673,  (at simulation time 7.100,000,000 s)
2023-09-25 08:47:01,046 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2,  Latitude=41.63056350986336, Longitude= -71.00201410875673, Road CLOSED, }, Latitude= 41.63056350986336, Longitude= -71.00201410875673,  (at simulation time 7.200,000,000 s)
2023-09-25 08:47:01,047 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=3,  Latitude=41.63056350986336, Longitude= -71.00201410875673, Road CLOSED, }, Latitude= 41.63056350986336, Longitude= -71.00201410875673,  (at simulation time 7.300,000,000 s)
2023-09-25 08:47:01,047 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=4,  Latitude=41.63056350986336, Longitude= -71.00201410875673, Road CLOSED, }, Latitude= 41.63056350986336, Longitude= -71.00201410875673,  (at simulation time 7.400,000,000 s)
2023-09-25 08:47:01,047 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=5,  Latitude=41.63056350986336, Longitude= -71.00201410875673, Road CLOSED, }, Latitude= 41.63056350986336, Longitude= -71.00201410875673,  (at simulation time 7.500,000,000 s)
2023-09-25 08:47:01,047 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=6,  Latitude=41.63056350986336, Longitude= -71.00201410875673, Road CLOSED, }, Latitude= 41.63056350986336, Longitude= -71.00201410875673,  (at simulation time 7.600,000,000 s)
2023-09-25 08:47:01,047 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=7,  Latitude=41.63056350986336, Longitude= -71.00201410875673, Road CLOSED, }, Latitude= 41.63056350986336, Longitude= -71.00201410875673,  (at simulation time 7.700,000,000 s)
2023-09-25 08:47:01,047 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=8,  Latitude=41.63056350986336, Longitude= -71.00201410875673, Road CLOSED, }, Latitude= 41.63056350986336, Longitude= -71.00201410875673,  (at simulation time 7.800,000,000 s)
2023-09-25 08:47:01,048 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=9,  Latitude=41.63056350986336, Longitude= -71.00201410875673, Road CLOSED, }, Latitude= 41.63056350986336, Longitude= -71.00201410875673,  (at simulation time 7.900,000,000 s)
2023-09-25 08:47:01,051 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=10,  Latitude=41.630583032577256, Longitude= -71.00202280190022, Road CLOSED, }, Latitude= 41.630583032577256, Longitude= -71.00202280190022,  (at simulation time 8.000,000,000 s)
2023-09-25 08:47:01,053 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=0,  Latitude=41.62984225180874, Longitude= -71.00160289947058, Road CLOSED, }, Latitude= 41.630583032577256, Longitude= -71.00202280190022,  (at simulation time 8.003,800,000 s)
2023-09-25 08:47:01,053 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=11,  Latitude=41.630583032577256, Longitude= -71.00202280190022, Road CLOSED, }, Latitude= 41.630583032577256, Longitude= -71.00202280190022,  (at simulation time 8.100,000,000 s)
2023-09-25 08:47:01,054 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=1,  Latitude=41.62984225180874, Longitude= -71.00160289947058, Road CLOSED, }, Latitude= 41.630583032577256, Longitude= -71.00202280190022,  (at simulation time 8.104,800,000 s)
2023-09-25 08:47:01,054 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=12,  Latitude=41.630583032577256, Longitude= -71.00202280190022, Road CLOSED, }, Latitude= 41.630583032577256, Longitude= -71.00202280190022,  (at simulation time 8.200,000,000 s)
2023-09-25 08:47:01,054 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=2,  Latitude=41.62984225180874, Longitude= -71.00160289947058, Road CLOSED, }, Latitude= 41.630583032577256, Longitude= -71.00202280190022,  (at simulation time 8.203,800,000 s)
2023-09-25 08:47:01,054 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=13,  Latitude=41.630583032577256, Longitude= -71.00202280190022, Road CLOSED, }, Latitude= 41.630583032577256, Longitude= -71.00202280190022,  (at simulation time 8.300,000,000 s)
2023-09-25 08:47:01,055 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=3,  Latitude=41.62984225180874, Longitude= -71.00160289947058, Road CLOSED, }, Latitude= 41.630583032577256, Longitude= -71.00202280190022,  (at simulation time 8.301,800,000 s)
2023-09-25 08:47:01,055 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=14,  Latitude=41.630583032577256, Longitude= -71.00202280190022, Road CLOSED, }, Latitude= 41.630583032577256, Longitude= -71.00202280190022,  (at simulation time 8.400,000,000 s)
2023-09-25 08:47:01,055 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=4,  Latitude=41.62984225180874, Longitude= -71.00160289947058, Road CLOSED, }, Latitude= 41.630583032577256, Longitude= -71.00202280190022,  (at simulation time 8.401,800,000 s)
2023-09-25 08:47:01,056 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=15,  Latitude=41.630583032577256, Longitude= -71.00202280190022, Road CLOSED, }, Latitude= 41.630583032577256, Longitude= -71.00202280190022,  (at simulation time 8.500,000,000 s)
2023-09-25 08:47:01,056 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=5,  Latitude=41.62984225180874, Longitude= -71.00160289947058, Road CLOSED, }, Latitude= 41.630583032577256, Longitude= -71.00202280190022,  (at simulation time 8.503,800,000 s)
