2023-09-25 08:46:23,864 INFO  SnsAmbassador - Init simulation with startTime=0, endTime=600000000000
2023-09-25 08:46:23,884 INFO  SnsAmbassador - Initialized SNS
2023-09-25 08:46:25,082 INFO  SnsAmbassador - Added RSU id=rsu_0 position=GeoPoint{lat=41.632532,lon=-71.005533,alt=0.00} @time=0.000,000,000 s
2023-09-25 08:46:25,083 INFO  SnsAmbassador - Added RSU id=rsu_1 position=GeoPoint{lat=41.624905,lon=-71.005030,alt=0.00} @time=0.000,000,000 s
2023-09-25 08:46:25,083 INFO  SnsAmbassador - Added RSU id=rsu_2 position=GeoPoint{lat=41.630023,lon=-71.011284,alt=0.00} @time=0.000,000,000 s
2023-09-25 08:46:25,091 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=rsu_0 @time=0.000,000,000 s
2023-09-25 08:46:25,091 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=rsu_1 @time=0.000,000,000 s
2023-09-25 08:46:25,091 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=rsu_2 @time=0.000,000,000 s
2023-09-25 08:46:25,102 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_0 @time=6.000,000,000 s
2023-09-25 08:46:25,103 INFO  SnsAmbassador - Added Vehicle id=veh_0 position=GeoPoint{lat=41.630620,lon=-71.002039,alt=0.00} @time=7.000,000,000 s
2023-09-25 08:46:25,108 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_1 @time=7.000,000,000 s
2023-09-25 08:46:25,108 WARN  SnsAmbassador - Unit veh_1 is not known, skipping
2023-09-25 08:46:25,109 WARN  SnsAmbassador - Unit veh_1 is not known, skipping
2023-09-25 08:46:25,109 WARN  SnsAmbassador - Unit veh_1 is not known, skipping
2023-09-25 08:46:25,109 WARN  SnsAmbassador - Unit veh_1 is not known, skipping
2023-09-25 08:46:25,109 WARN  SnsAmbassador - Unit veh_1 is not known, skipping
2023-09-25 08:46:25,109 WARN  SnsAmbassador - Unit veh_1 is not known, skipping
2023-09-25 08:46:25,110 WARN  SnsAmbassador - Unit veh_1 is not known, skipping
2023-09-25 08:46:25,110 WARN  SnsAmbassador - Unit veh_1 is not known, skipping
2023-09-25 08:46:25,110 WARN  SnsAmbassador - Unit veh_1 is not known, skipping
2023-09-25 08:46:25,110 WARN  SnsAmbassador - Unit veh_1 is not known, skipping
2023-09-25 08:46:25,112 INFO  SnsAmbassador - Added Vehicle id=veh_1 position=GeoPoint{lat=41.630583,lon=-71.002023,alt=0.00} @time=8.000,000,000 s
2023-09-25 08:46:25,120 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_2 @time=9.000,000,000 s
2023-09-25 08:46:25,124 INFO  SnsAmbassador - Added Vehicle id=veh_2 position=GeoPoint{lat=41.630564,lon=-71.002014,alt=0.00} @time=10.000,000,000 s
2023-09-25 08:46:25,140 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_3 @time=13.000,000,000 s
2023-09-25 08:46:25,144 INFO  SnsAmbassador - Added Vehicle id=veh_3 position=GeoPoint{lat=41.630603,lon=-71.002032,alt=0.00} @time=14.000,000,000 s
2023-09-25 08:46:25,151 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_4 @time=15.000,000,000 s
2023-09-25 08:46:25,155 INFO  SnsAmbassador - Added Vehicle id=veh_4 position=GeoPoint{lat=41.630604,lon=-71.002032,alt=0.00} @time=16.000,000,000 s
2023-09-25 08:46:25,161 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_5 @time=17.000,000,000 s
2023-09-25 08:46:25,165 INFO  SnsAmbassador - Added Vehicle id=veh_5 position=GeoPoint{lat=41.630606,lon=-71.002033,alt=0.00} @time=18.000,000,000 s
2023-09-25 08:46:25,169 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_6 @time=19.000,000,000 s
2023-09-25 08:46:25,173 INFO  SnsAmbassador - Added Vehicle id=veh_6 position=GeoPoint{lat=41.630593,lon=-71.002027,alt=0.00} @time=20.000,000,000 s
2023-09-25 08:46:25,178 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_7 @time=21.000,000,000 s
2023-09-25 08:46:25,185 INFO  SnsAmbassador - Added Vehicle id=veh_7 position=GeoPoint{lat=41.630591,lon=-71.002026,alt=0.00} @time=22.000,000,000 s
2023-09-25 08:46:25,191 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_8 @time=23.000,000,000 s
2023-09-25 08:46:25,196 INFO  SnsAmbassador - Added Vehicle id=veh_8 position=GeoPoint{lat=41.630581,lon=-71.002022,alt=0.00} @time=24.000,000,000 s
2023-09-25 08:46:25,205 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_9 @time=25.000,000,000 s
2023-09-25 08:46:25,209 INFO  SnsAmbassador - Added Vehicle id=veh_9 position=GeoPoint{lat=41.630564,lon=-71.002014,alt=0.00} @time=26.000,000,000 s
2023-09-25 08:46:26,346 INFO  SnsAmbassador - Removed Vehicle id=veh_0 @time=474.000,000,000 s
2023-09-25 08:46:26,351 INFO  SnsAmbassador - Removed Vehicle id=veh_1 @time=476.000,000,000 s
2023-09-25 08:46:26,352 INFO  SnsAmbassador - Removed Vehicle id=veh_2 @time=478.000,000,000 s
2023-09-25 08:46:26,353 INFO  SnsAmbassador - Removed Vehicle id=veh_3 @time=480.000,000,000 s
2023-09-25 08:46:26,353 INFO  SnsAmbassador - Removed Vehicle id=veh_4 @time=482.000,000,000 s
2023-09-25 08:46:26,354 INFO  SnsAmbassador - Removed Vehicle id=veh_5 @time=484.000,000,000 s
2023-09-25 08:46:26,355 INFO  SnsAmbassador - Removed Vehicle id=veh_6 @time=486.000,000,000 s
2023-09-25 08:46:26,355 INFO  SnsAmbassador - Removed Vehicle id=veh_7 @time=488.000,000,000 s
2023-09-25 08:46:26,356 INFO  SnsAmbassador - Removed Vehicle id=veh_8 @time=495.000,000,000 s
2023-09-25 08:46:26,356 INFO  SnsAmbassador - Removed Vehicle id=veh_9 @time=497.000,000,000 s
2023-09-25 08:46:26,439 INFO  SnsAmbassador - Finished simulation
