2023-09-25 08:46:25,119 INFO  - Initialize application VehicleCommunicationApp1 (at simulation time 9.000,000,000 s)
2023-09-25 08:46:25,120 INFO  - Activated Cellular Module (at simulation time 9.000,000,000 s)
2023-09-25 08:46:25,192 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,28, 20,  41.63253168184327,  -71.00553295378838, Road CLOSED, }, Latitude= 41.631233708380286, Longitude= -71.00240793214289,  (at simulation time 23.002,800,000 s)
2023-09-25 08:46:25,192 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,28, 21,  41.63253168184327,  -71.00553295378838, Road CLOSED, }, Latitude= 41.631233708380286, Longitude= -71.00240793214289,  (at simulation time 23.102,800,000 s)
2023-09-25 08:46:25,193 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,28, 22,  41.63253168184327,  -71.00553295378838, Road CLOSED, }, Latitude= 41.631233708380286, Longitude= -71.00240793214289,  (at simulation time 23.203,300,000 s)
2023-09-25 08:46:25,193 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,28, 23,  41.63253168184327,  -71.00553295378838, Road CLOSED, }, Latitude= 41.631233708380286, Longitude= -71.00240793214289,  (at simulation time 23.303,800,000 s)
2023-09-25 08:46:25,193 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,28, 24,  41.63253168184327,  -71.00553295378838, Road CLOSED, }, Latitude= 41.631233708380286, Longitude= -71.00240793214289,  (at simulation time 23.402,800,000 s)
2023-09-25 08:46:25,194 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,28, 25,  41.63253168184327,  -71.00553295378838, Road CLOSED, }, Latitude= 41.631233708380286, Longitude= -71.00240793214289,  (at simulation time 23.504,300,000 s)
2023-09-25 08:46:25,194 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,28, 26,  41.63253168184327,  -71.00553295378838, Road CLOSED, }, Latitude= 41.631233708380286, Longitude= -71.00240793214289,  (at simulation time 23.601,800,000 s)
2023-09-25 08:46:25,194 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,28, 27,  41.63253168184327,  -71.00553295378838, Road CLOSED, }, Latitude= 41.631233708380286, Longitude= -71.00240793214289,  (at simulation time 23.702,800,000 s)
2023-09-25 08:46:25,195 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,28, 28,  41.63253168184327,  -71.00553295378838, Road CLOSED, }, Latitude= 41.631233708380286, Longitude= -71.00240793214289,  (at simulation time 23.804,300,000 s)
2023-09-25 08:46:25,195 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,28, 29,  41.63253168184327,  -71.00553295378838, Road CLOSED, }, Latitude= 41.631233708380286, Longitude= -71.00240793214289,  (at simulation time 23.902,800,000 s)
2023-09-25 08:46:25,197 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,28, 30,  41.63253168184327,  -71.00553295378838, Road CLOSED, }, Latitude= 41.63128601840777, Longitude= -71.00245230584774,  (at simulation time 24.002,300,000 s)
