2023-09-25 08:46:46,820 INFO  - Initialize application (at simulation time 0.000,000,000 s)
2023-09-25 08:46:46,821 INFO  - Activated Cellular Module (at simulation time 0.000,000,000 s)
2023-09-25 08:46:47,543 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 3550,  41.62745200714568,  -71.01040718847018, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 362.001,400,000 s)
2023-09-25 08:46:47,543 INFO  - ,Broadcast V2X Message from ,rsu_2, InterVehicleMsg{,30, 2240,  41.63002320830884,  -71.01128391713155, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 362.001,400,000 s)
2023-09-25 08:46:47,544 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 3551,  41.62745200714568,  -71.01040718847018, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 362.100,900,000 s)
2023-09-25 08:46:47,544 INFO  - ,Broadcast V2X Message from ,rsu_2, InterVehicleMsg{,30, 2241,  41.63002320830884,  -71.01128391713155, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 362.100,900,000 s)
2023-09-25 08:46:47,544 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 3552,  41.62745200714568,  -71.01040718847018, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 362.201,400,000 s)
2023-09-25 08:46:47,544 INFO  - ,Broadcast V2X Message from ,rsu_2, InterVehicleMsg{,30, 2242,  41.63002320830884,  -71.01128391713155, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 362.201,400,000 s)
2023-09-25 08:46:47,544 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 3553,  41.62745200714568,  -71.01040718847018, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 362.302,400,000 s)
2023-09-25 08:46:47,544 INFO  - ,Broadcast V2X Message from ,rsu_2, InterVehicleMsg{,30, 2243,  41.63002320830884,  -71.01128391713155, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 362.302,400,000 s)
2023-09-25 08:46:47,544 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 3554,  41.62745200714568,  -71.01040718847018, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 362.401,900,000 s)
2023-09-25 08:46:47,544 INFO  - ,Broadcast V2X Message from ,rsu_2, InterVehicleMsg{,30, 2244,  41.63002320830884,  -71.01128391713155, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 362.401,900,000 s)
2023-09-25 08:46:47,544 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 3555,  41.62745200714568,  -71.01040718847018, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 362.501,400,000 s)
2023-09-25 08:46:47,544 INFO  - ,Broadcast V2X Message from ,rsu_2, InterVehicleMsg{,30, 2245,  41.63002320830884,  -71.01128391713155, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 362.501,400,000 s)
2023-09-25 08:46:47,544 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 3556,  41.62745200714568,  -71.01040718847018, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 362.601,900,000 s)
2023-09-25 08:46:47,544 INFO  - ,Broadcast V2X Message from ,rsu_2, InterVehicleMsg{,30, 2246,  41.63002320830884,  -71.01128391713155, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 362.601,900,000 s)
2023-09-25 08:46:47,544 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 3557,  41.62745200714568,  -71.01040718847018, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 362.702,400,000 s)
2023-09-25 08:46:47,544 INFO  - ,Broadcast V2X Message from ,rsu_2, InterVehicleMsg{,30, 2247,  41.63002320830884,  -71.01128391713155, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 362.702,400,000 s)
2023-09-25 08:46:47,544 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 3558,  41.62745200714568,  -71.01040718847018, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 362.801,400,000 s)
2023-09-25 08:46:47,544 INFO  - ,Broadcast V2X Message from ,rsu_2, InterVehicleMsg{,30, 2248,  41.63002320830884,  -71.01128391713155, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 362.801,400,000 s)
2023-09-25 08:46:47,544 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 3559,  41.62745200714568,  -71.01040718847018, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 362.901,400,000 s)
2023-09-25 08:46:47,544 INFO  - ,Broadcast V2X Message from ,rsu_2, InterVehicleMsg{,30, 2249,  41.63002320830884,  -71.01128391713155, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 362.901,400,000 s)
2023-09-25 08:46:47,545 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 3560,  41.62750804407831,  -71.01044542836301, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 363.002,400,000 s)
2023-09-25 08:46:47,545 INFO  - ,Broadcast V2X Message from ,rsu_2, InterVehicleMsg{,30, 2250,  41.63002320830884,  -71.01128391713155, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 363.002,400,000 s)
